coll_rate,avg_spd,spd_std_dev,avg_acc,acc_std_dev,coll
0.0,23.734568106711812,4.802015187284987,0.14975507552119596,0.42194791343395965,0
0.0,12.340474082560387,7.455546495901057,-0.02969361924310194,3.187769861548856,0
0.0,9.153983772750703,2.9339684265817305,-0.04363006951776356,2.421714580532301,0
0.0,10.599487872840577,5.282656067430822,0.011910158478029923,2.4197811511941882,0
0.0,12.805069437100585,7.15598976250139,-0.028916283024824452,2.526004823621908,0
0.0,12.461944370015352,7.848776641108857,-0.05234273498975973,2.312417006749207,0
0.0,11.548072646277687,7.303261008203829,-0.036144732651183606,2.7749513655501747,0
0.0,10.213274759363939,5.621839722754593,-0.03712146244011823,2.966054452031296,0
0.0,16.982737512922334,9.81037527668898,0.17799177928849758,3.3146840659451033,0
0.0,9.180793803928028,3.8072067229646374,-0.036670818029903136,2.4307834478676233,0
0.0,12.764893382902486,6.96318027580522,-0.005068268552967065,2.9381376221584556,0
0.0,9.580923651028634,3.913779739731131,-0.01587176759785507,2.7076079520587535,0
