coll_rate,avg_spd,spd_std_dev,avg_acc,acc_std_dev,coll
0.0,23.379916192738072,5.7534021224901375,0.14975507552119596,1.490044187865431,0
0.0,9.21914319600968,1.8778069751938233,-0.05000630748015851,0.9169409790056194,0
0.0,8.57961321148945,2.6918546300195527,-0.05249619517854821,1.9896849696213146,0
0.0,8.381183323341066,1.7304667358856345,-0.04652660220069835,2.146369564468045,0
0.0,9.215650190774351,2.623980529452808,-0.05226029254251671,1.829620314665773,0
0.0,9.8698621094056,2.548952692679011,-0.0304179009170928,0.9592850882277907,0
0.0,9.218241838895752,2.723134717428909,-0.027193852077060612,1.4245472335133575,0
0.0,7.308130972642655,1.97863700126518,-0.04995168433110912,1.3056275584444295,0
0.0,9.97891119932724,1.9628524699237717,-0.004850983127486188,1.163499519844117,0
0.0,9.128421232997008,3.3065161801136704,-0.029654143724119376,1.6771404946174837,0
0.0,8.417773303823086,2.007328785834755,-0.04171007538858247,1.7439448025080992,0
0.0,7.668815134261621,1.6484681323629318,-0.01423930732741299,0.9209858164631997,0
